Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,C1,1Meg,,,
1,,C2,10n,,,
1,,D1,BZX84-C2V7,,,
1,,D2,D1N4148,,,
1,,D3,D1N4148,,,
1,,L1,1Meg,,,
1,,Q3,QBC846B,,,
1,,Q4,QBC846B,,,
1,,Q5,QBC846B,,,
1,,Q8,QBC817-25,,,
1,,Q9,QBC846B,,,
1,,Q10,QBC817-25,,,
1,,Q11,QBC856B,,,
1,,Q12,QBC856B,,,
1,,Q13,QBC846B,,,
1,,Q14,QBC807-25,,,
1,,Q15,QBC807-25,,,
1,,R1,75,,,
1,,R3,1k,,,
1,,R4,1k,,,
1,,R6,1k,,,
1,,R9,1.8k,,,
1,,R10,2.7k,,,
1,,R11,10K,,,
1,,R12,220,,,
1,,R13,1.5,,,
1,,R14,10K,,,
1,,R15,1k,,,
1,,RL,200,,,